date,value,yoy
1995-01-30,3455.3,0.5207424215977197
1995-02-06,3485.2,0.4640973163068107
1995-02-13,3480.4,0.37781559138234666
1995-02-20,3469.9,0.460335842501447
1995-02-27,3463.2,0.4320969753211612
1995-03-06,3492.8,0.21806496040399637
1995-03-13,3499.4,0.3354646328526112
1995-03-20,3492.8,0.48042346307644035
1995-03-27,3479.8,0.6042383416693164
1995-04-03,3504.1,-0.0883895985401395
1995-04-10,3543.8,0.4023118766999234
1995-04-17,3544.1,0.7734083994426877
1995-04-24,3508.9,0.9784454228898731
1995-05-01,3490.5,0.6081743240906157
1995-05-08,3510.3,0.590308622517699
1995-05-15,3508.8,0.7204983207509397
1995-05-22,3503.0,1.1725970425138676
1995-05-29,3500.3,1.1939867013587735
1995-06-05,3549.4,1.4955248634582974
1995-06-12,3560.4,1.8887362637362681
1995-06-19,3547.7,2.1361738880091963
1995-06-26,3521.7,2.0634690624547147
1995-07-03,3553.5,1.8486672398968285
1995-07-10,3587.6,2.1526195899772116
1995-07-17,3574.1,2.228133401979293
1995-07-24,3555.8,2.428345095779938
1995-07-31,3560.1,2.3046639271243397
1995-08-07,3596.8,2.783334285877581
1995-08-14,3593.0,2.8510906280414527
1995-08-21,3585.5,3.1264381040036815
1995-08-28,3568.2,3.1868131868131755
1995-09-04,3597.3,3.080405753911397
1995-09-11,3617.9,3.386294793393163
1995-09-18,3600.8,3.477211333984709
1995-09-25,3569.6,3.5116717413368193
1995-10-02,3581.6,3.3292943280826215
1995-10-09,3618.6,3.5572217611538726
1995-10-16,3616.9,3.561918396564079
1995-10-23,3591.6,3.716538161656402
1995-10-30,3582.9,3.516121576331921
1995-11-06,3623.9,3.7267080745341685
1995-11-13,3625.5,3.6449399656946824
1995-11-20,3623.9,3.7950392392736454
1995-11-27,3618.0,3.819334844615341
1995-12-04,3638.8,3.6665622062049597
1995-12-11,3655.1,4.030169346805179
1995-12-18,3650.0,4.122093852517472
1995-12-25,3648.7,4.2962497141550315
1996-01-01,3661.5,4.36678733289626
1996-01-08,3682.6,4.379127575748987
1996-01-15,3680.0,4.732902638244596
1996-01-22,3640.9,4.572478961426896
1996-01-29,3608.3,4.4279802043238
1996-02-05,3642.0,4.499024446229782
1996-02-12,3647.3,4.795425813124932
1996-02-19,3647.5,5.118303121127399
